,blockNumber,kittyId,case:genes,case:concept:name,concept:name,time:timestamp,from,to,start_timestamp_Rounded,genes,isValue,isValueCase2
10541862,8289650,,-3019947904495252141,995907,Is Transferred,2019-08-05 10:45:08+00:00,0xe738725cdcc41c91f734dd7b5b9659df994d6dda,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-05 10:50:00+00:00,-3019947904495252141,True,False
10541861,8287942,,-3019947904495252141,995907,Is Transferred,2019-08-05 04:26:12+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xe738725cdcc41c91f734dd7b5b9659df994d6dda,2019-08-05 04:30:00+00:00,-3019947904495252141,True,False
10541860,8287478,,-3019947904495252141,995907,Is Transferred,2019-08-05 02:44:56+00:00,0xa37e6b46fa8e1a6f1ddbf035c4e0230b8414ff04,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-05 02:40:00+00:00,-3019947904495252141,True,False
10541859,8285785,,-3019947904495252141,995907,Is Transferred,2019-08-04 20:25:59+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xa37e6b46fa8e1a6f1ddbf035c4e0230b8414ff04,2019-08-04 20:30:00+00:00,-3019947904495252141,True,False
10541858,8285333,,-3019947904495252141,995907,Is Transferred,2019-08-04 18:45:22+00:00,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-04 18:50:00+00:00,-3019947904495252141,True,False
10541857,8283652,,-3019947904495252141,995907,Is Transferred,2019-08-04 12:26:01+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x838c14eb3eabe4cb6a696d286c7b2a466629d0ee,2019-08-04 12:30:00+00:00,-3019947904495252141,True,False
10541856,8283193,,-3019947904495252141,995907,Is Transferred,2019-08-04 10:45:20+00:00,0xbabda06088c242fb2a763aa7cc99706cb77ba735,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-04 10:50:00+00:00,-3019947904495252141,True,False
10541855,8281501,,-3019947904495252141,995907,Is Transferred,2019-08-04 04:26:07+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xbabda06088c242fb2a763aa7cc99706cb77ba735,2019-08-04 04:30:00+00:00,-3019947904495252141,True,False
10541854,8281052,,-3019947904495252141,995907,Is Transferred,2019-08-04 02:45:09+00:00,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-04 02:50:00+00:00,-3019947904495252141,True,False
10541853,8279293,,-3019947904495252141,995907,Is Transferred,2019-08-03 20:25:46+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,2019-08-03 20:30:00+00:00,-3019947904495252141,True,False
10541852,8278855,,-3019947904495252141,995907,Is Transferred,2019-08-03 18:45:09+00:00,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-03 18:50:00+00:00,-3019947904495252141,True,False
10541851,8277163,,-3019947904495252141,995907,Is Transferred,2019-08-03 12:26:06+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-08-03 12:30:00+00:00,-3019947904495252141,True,False
10541850,8276730,,-3019947904495252141,995907,Is Transferred,2019-08-03 10:46:28+00:00,0x1c1ef71445010114f41ac1feb32dbf5d7281e90f,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-03 10:50:00+00:00,-3019947904495252141,True,False
10541849,8275003,,-3019947904495252141,995907,Is Transferred,2019-08-03 04:26:08+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x1c1ef71445010114f41ac1feb32dbf5d7281e90f,2019-08-03 04:30:00+00:00,-3019947904495252141,True,False
10541848,8274560,,-3019947904495252141,995907,Is Transferred,2019-08-03 02:45:24+00:00,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-03 02:50:00+00:00,-3019947904495252141,True,False
10541847,8272839,,-3019947904495252141,995907,Is Transferred,2019-08-02 20:26:14+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0x87b77fabfeb869150b8e1b9462603f9a639c5fae,2019-08-02 20:30:00+00:00,-3019947904495252141,True,False
10541846,8272394,,-3019947904495252141,995907,Is Transferred,2019-08-02 18:46:20+00:00,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,0xbdc18219ebb537557dc0c78b119b5659c575666f,2019-08-02 18:50:00+00:00,-3019947904495252141,True,False
10541845,8271567,,-3019947904495252141,995907,Is Transferred,2019-08-02 15:32:08+00:00,0xbdc18219ebb537557dc0c78b119b5659c575666f,0xf5aee6d7b838d5ede8aa65d31dbc11116545180c,2019-08-02 15:30:00+00:00,-3019947904495252141,True,False
